Player,Season,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Recent Fee
Aaron Ramsdale,2024-2025,eng ENG,GK,Southampton,eng Premier League,26,1998,30.0,66.0,5.0,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026.0,129,44.6,36.0,190.0,77.4,55.9,457.0,25.0,5.5,20.0,0.67,11.7,4.6
Aaron Ramsdale,2023-2024,eng ENG,GK,Arsenal,eng Premier League,25,1998,6.0,5.0,0.0,0.0,1.0,0.0,3.7,0.26,-1.3,-0.22,19,69,27.5,169.0,30,34.9,33.3,19.0,52.6,41.4,46.0,8.0,17.4,9.0,1.5,14.6,4.6
Aaron Ramsdale,2022-2023,eng ENG,GK,Arsenal,eng Premier League,24,1998,38.0,43.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109,429,25.4,956.0,174,35.4,33.3,153.0,59.5,49.2,381.0,22.0,5.8,43.0,1.13,16.1,4.6
Aarón Escandell,2023-2024,es ESP,GK,Las Palmas,es La Liga,27,1995,1.7,3.0,0.0,0.0,0.0,0.0,2.5,0.62,-0.5,-0.3,9,26,34.6,73.0,10,27.4,30.4,12.0,50.0,41.3,24.0,1.0,4.2,4.0,2.35,18.0,
Adrian Rodriguez,2024-2025,es ESP,GK,Alavés,es La Liga,23,2000,1.4,2.0,1.0,0.0,0.0,0.0,1.5,0.13,-0.5,-0.36,18,48,37.5,26.0,0,92.3,56.3,24.0,100.0,67.4,33.0,0.0,0.0,0.0,0.0,9.8,
Adrián,2024-2025,es ESP,GK,Betis,es La Liga,37,1987,19.0,27.0,1.0,2.0,5.0,0.0,26.0,0.33,-1.0,-0.05,58,178,32.6,507.0,91,28.0,31.2,109.0,33.0,33.8,257.0,14.0,5.4,16.0,0.84,11.7,
Agustín Marchesín,2022-2023,ar ARG,GK,Celta Vigo,es La Liga,34,1988,19.0,29.0,2.0,1.0,4.0,1.0,20.7,0.24,-7.3,-0.38,103,267,38.6,500.0,75,39.8,35.3,131.0,51.9,42.9,253.0,14.0,5.5,25.0,1.32,18.1,
Aitor Fernández,2024-2025,es ESP,GK,Osasuna,es La Liga,33,1991,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.23,1.2,1.15,19,35,54.3,34.0,4,70.6,44.4,11.0,100.0,59.9,14.0,1.0,7.1,1.0,1.0,10.6,
Aitor Fernández,2023-2024,es ESP,GK,Osasuna,es La Liga,32,1991,6.1,9.0,1.0,0.0,2.0,0.0,6.1,0.26,-2.9,-0.47,47,113,41.6,174.0,19,56.3,42.5,22.0,68.2,49.7,69.0,1.0,1.4,15.0,2.45,24.8,
Aitor Fernández,2022-2023,es ESP,GK,Osasuna,es La Liga,31,1991,21.0,19.0,0.0,0.0,0.0,1.0,17.7,0.24,-0.3,-0.01,191,438,43.6,615.0,87,50.9,41.1,174.0,71.8,54.2,319.0,14.0,4.4,37.0,1.76,16.3,
Alaa Bellaarouch,2023-2024,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15.0,26.0,3.0,0.0,1.0,1.0,19.9,0.25,-5.1,-0.34,56,183,30.6,440.0,57,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4,
Alban Lafont,2024-2025,fr FRA,GK,Nantes,fr Ligue 1,25,1999,12.0,19.0,3.0,0.0,2.0,2.0,16.8,0.3,-0.2,-0.02,40,143,28.0,309.0,56,34.0,34.9,57.0,66.7,51.1,200.0,16.0,8.0,6.0,0.5,10.6,
Alban Lafont,2023-2024,fr FRA,GK,Nantes,fr Ligue 1,24,1999,27.7,43.0,8.0,0.0,2.0,0.0,42.4,0.31,-0.6,-0.02,123,388,31.7,839.0,145,34.2,34.0,166.0,60.8,46.9,385.0,33.0,8.6,33.0,1.19,13.0,
Alban Lafont,2022-2023,fr FRA,GK,Nantes,fr Ligue 1,23,1999,37.0,54.0,9.0,1.0,6.0,4.0,54.8,0.26,4.8,0.13,189,516,36.6,942.0,202,37.2,35.5,247.0,67.2,49.3,493.0,42.0,8.5,39.0,1.05,12.3,
Alberto Paleari,2024-2025,it ITA,GK,Torino,it Serie A,31,1992,1.0,3.0,0.0,0.0,0.0,0.0,2.2,0.32,-0.8,-0.77,8,12,66.7,26.0,5,34.6,31.0,6.0,50.0,42.0,12.0,0.0,0.0,5.0,5.0,27.3,
Alen Sherri,2024-2025,al ALB,GK,Cagliari,it Serie A,26,1997,6.9,11.0,0.0,0.0,0.0,0.0,10.9,0.35,-0.1,-0.02,29,84,34.5,168.0,22,35.7,32.2,57.0,42.1,37.0,85.0,4.0,4.7,5.0,0.72,11.1,
Alessandro Russo,2022-2023,it ITA,GK,Sassuolo,it Serie A,21,2001,1.0,3.0,0.0,0.0,0.0,0.0,2.8,0.4,-0.2,-0.22,0,12,0.0,42.0,2,28.6,30.7,8.0,0.0,18.3,14.0,0.0,0.0,0.0,0.0,10.0,
Alessandro Sorrentino,2023-2024,it ITA,GK,Monza,it Serie A,21,2002,6.1,16.0,4.0,0.0,1.0,0.0,14.4,0.34,-1.6,-0.27,18,56,32.1,151.0,29,26.5,30.6,42.0,38.1,36.1,62.0,3.0,4.8,3.0,0.49,16.8,
Alessio Cragno,2023-2024,it ITA,GK,Sassuolo,it Serie A,29,1994,3.0,7.0,1.0,1.0,1.0,1.0,5.1,0.3,-0.9,-0.28,17,45,37.8,78.0,11,50.0,37.8,22.0,27.3,30.5,37.0,3.0,8.1,8.0,2.67,18.6,
Alessio Cragno,2022-2023,it ITA,GK,Monza,it Serie A,28,1994,1.0,3.0,0.0,0.0,0.0,0.0,1.7,0.35,-1.3,-1.33,2,4,50.0,25.0,4,12.0,22.6,6.0,16.7,33.3,7.0,0.0,0.0,2.0,2.0,25.7,
Alex Cordaz,2022-2023,it ITA,GK,Inter,it Serie A,39,1983,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.26,0.5,1.77,1,7,14.3,15.0,3,26.7,33.5,5.0,60.0,52.0,7.0,0.0,0.0,0.0,0.0,,
Alex McCarthy,2024-2025,eng ENG,GK,Southampton,eng Premier League,34,1989,5.0,13.0,2.0,0.0,1.0,0.0,12.6,0.29,-0.4,-0.07,24,52,46.2,132.0,29,33.3,29.5,23.0,34.8,30.7,74.0,8.0,10.8,0.0,0.0,6.5,
Alex McCarthy,2022-2023,eng ENG,GK,Southampton,eng Premier League,32,1989,6.0,17.0,1.0,0.0,1.0,1.0,10.9,0.34,-5.1,-0.84,22,113,19.5,194.0,29,48.5,36.5,52.0,36.5,31.0,92.0,6.0,6.5,7.0,1.17,13.5,
Alex Meret,2024-2025,it ITA,GK,Napoli,it Serie A,27,1997,33.4,25.0,1.0,1.0,0.0,2.0,25.3,0.27,2.3,0.07,88,214,41.1,1041.0,117,15.4,27.7,181.0,29.8,34.9,378.0,21.0,5.6,47.0,1.41,16.5,
Alex Meret,2023-2024,it ITA,GK,Napoli,it Serie A,26,1997,30.8,40.0,2.0,1.0,5.0,0.0,38.0,0.33,-2.0,-0.07,56,174,32.2,774.0,120,18.5,27.9,137.0,22.6,29.5,334.0,9.0,2.7,29.0,0.94,15.4,
Alex Meret,2022-2023,it ITA,GK,Napoli,it Serie A,25,1997,34.0,24.0,1.0,0.0,1.0,0.0,25.0,0.25,1.0,0.03,56,145,38.6,733.0,121,14.3,26.1,198.0,20.2,26.9,335.0,11.0,3.3,39.0,1.15,17.0,
Alex Padilla,2024-2025,es ESP,GK,Athletic Club,es La Liga,20,2003,3.6,6.0,1.0,0.0,1.0,1.0,4.8,0.26,-0.2,-0.06,27,78,34.6,98.0,15,58.2,41.5,22.0,95.5,64.5,57.0,2.0,3.5,3.0,0.84,13.4,
Alex Palmer,2024-2025,eng ENG,GK,Ipswich Town,eng Premier League,27,1996,13.0,30.0,1.0,0.0,9.0,2.0,25.1,0.35,-2.9,-0.22,71,186,38.2,329.0,55,36.8,33.9,94.0,69.1,50.8,249.0,20.0,8.0,13.0,1.0,11.5,
Alexander Brunst,2023-2024,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3.0,10.0,0.0,0.0,2.0,0.0,6.3,0.37,-3.7,-1.25,33,72,45.8,129.0,13,41.1,36.0,21.0,90.5,59.6,51.0,3.0,5.9,9.0,3.0,19.1,
Alexander Meyer,2024-2025,de GER,GK,Dortmund,de Bundesliga,33,1991,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.36,0.0,0.0,8,33,24.2,76.0,3,35.5,34.8,7.0,85.7,63.6,24.0,1.0,4.2,2.0,1.0,14.8,
Alexander Meyer,2023-2024,de GER,GK,Dortmund,de Bundesliga,32,1991,7.7,9.0,0.0,0.0,0.0,1.0,7.8,0.3,-0.2,-0.03,27,81,33.3,334.0,29,20.1,28.3,31.0,45.2,42.1,107.0,8.0,7.5,7.0,0.91,14.5,
Alexander Meyer,2022-2023,de GER,GK,Dortmund,de Bundesliga,31,1991,7.0,12.0,0.0,0.0,2.0,0.0,7.9,0.25,-4.1,-0.58,24,60,40.0,278.0,35,16.2,27.3,44.0,34.1,35.0,91.0,8.0,8.8,18.0,2.57,19.8,
Alexander Nübel,2024-2025,de GER,GK,Stuttgart,de Bundesliga,27,1996,34.0,53.0,2.0,1.0,7.0,1.0,44.8,0.32,-7.2,-0.21,157,410,38.3,1183.0,137,30.1,30.7,122.0,44.3,39.5,415.0,21.0,5.1,57.0,1.68,17.6,
Alexander Nübel,2023-2024,de GER,GK,Stuttgart,de Bundesliga,26,1996,30.0,36.0,3.0,0.0,5.0,3.0,30.8,0.27,-2.2,-0.07,126,291,43.3,1103.0,132,23.1,28.7,112.0,32.1,32.7,341.0,30.0,8.8,57.0,1.9,17.3,
Alexander Nübel,2022-2023,de GER,GK,Monaco,fr Ligue 1,25,1996,38.0,58.0,5.0,1.0,4.0,3.0,49.5,0.24,-5.5,-0.14,189,445,42.5,875.0,203,32.2,32.8,266.0,61.3,45.6,454.0,36.0,7.9,33.0,0.87,12.7,
Alexander Schwolow,2024-2025,de GER,GK,Union Berlin,de Bundesliga,32,1992,6.0,13.0,1.0,0.0,0.0,0.0,9.7,0.32,-3.3,-0.55,28,73,38.4,166.0,26,31.3,31.0,40.0,52.5,42.6,85.0,0.0,0.0,4.0,0.67,14.2,
Alexander Schwolow,2023-2024,de GER,GK,Union Berlin,de Bundesliga,31,1992,1.0,2.0,0.0,0.0,0.0,0.0,1.2,0.2,-0.8,-0.81,4,10,40.0,28.0,4,32.1,34.1,8.0,12.5,28.4,13.0,0.0,0.0,0.0,0.0,5.0,
Alexander Schwolow,2022-2023,de GER,GK,Schalke 04,de Bundesliga,30,1992,22.6,58.0,4.0,1.0,6.0,0.0,45.8,0.31,-12.2,-0.54,180,441,40.8,676.0,79,46.4,38.4,174.0,73.0,55.2,321.0,7.0,2.2,23.0,1.02,15.0,
Alexandre Letellier,2022-2023,fr FRA,GK,Paris S-G,fr Ligue 1,31,1990,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,,3.0,0,0.0,19.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,,
Alexandre Oukidja,2023-2024,dz ALG,GK,Metz,fr Ligue 1,35,1988,33.2,57.0,6.0,1.0,7.0,0.0,52.3,0.26,-4.7,-0.14,209,666,31.4,708.0,125,57.3,42.4,292.0,89.0,59.0,569.0,46.0,8.1,22.0,0.66,10.3,
